0,1,paths,img_shape
0.jpg,Adhered,./merged_data/train/0.jpg,"(3, 1063, 461)"
1.jpg,Adhered,./merged_data/train/1.jpg,"(3, 190, 282)"
2.jpg,Concrete,./merged_data/train/2.jpg,"(3, 80, 72)"
3.jpg,Concrete,./merged_data/train/3.jpg,"(3, 103, 73)"
4.jpg,Plastic & fabric,./merged_data/train/4.jpg,"(3, 150, 120)"
5.jpg,Plastic & fabric,./merged_data/train/5.jpg,"(3, 51, 71)"
6.jpg,Concrete,./merged_data/train/6.jpg,"(3, 1235, 891)"
7.jpg,Adhered,./merged_data/train/7.jpg,"(3, 602, 268)"
8.jpg,Steel,./merged_data/train/8.jpg,"(3, 170, 131)"
9.jpg,Adhered,./merged_data/train/9.jpg,"(3, 799, 286)"
10.jpg,Adhered,./merged_data/train/10.jpg,"(3, 199, 51)"
11.jpg,Steel,./merged_data/train/11.jpg,"(3, 166, 53)"
12.jpg,Adhered,./merged_data/train/12.jpg,"(3, 101, 116)"
13.jpg,Adhered,./merged_data/train/13.jpg,"(3, 246, 105)"
14.jpg,Concrete,./merged_data/train/14.jpg,"(3, 60, 79)"
15.jpg,Plastic & fabric,./merged_data/train/15.jpg,"(3, 128, 111)"
16.jpg,Adhered,./merged_data/train/16.jpg,"(3, 76, 58)"
17.jpg,Adhered,./merged_data/train/17.jpg,"(3, 164, 135)"
18.jpg,Adhered,./merged_data/train/18.jpg,"(3, 124, 108)"
19.jpg,Adhered,./merged_data/train/19.jpg,"(3, 141, 135)"
20.jpg,Concrete,./merged_data/train/20.jpg,"(3, 141, 120)"
21.jpg,Adhered,./merged_data/train/21.jpg,"(3, 68, 60)"
22.jpg,Concrete,./merged_data/train/22.jpg,"(3, 135, 60)"
23.jpg,Plastic & fabric,./merged_data/train/23.jpg,"(3, 124, 102)"
24.jpg,Concrete,./merged_data/train/24.jpg,"(3, 89, 80)"
25.jpg,Plastic & fabric,./merged_data/train/25.jpg,"(3, 134, 111)"
26.jpg,Plastic & fabric,./merged_data/train/26.jpg,"(3, 142, 114)"
27.jpg,Concrete,./merged_data/train/27.jpg,"(3, 84, 67)"
28.jpg,Concrete,./merged_data/train/28.jpg,"(3, 82, 67)"
29.jpg,Concrete,./merged_data/train/29.jpg,"(3, 112, 169)"
30.jpg,Concrete,./merged_data/train/30.jpg,"(3, 121, 93)"
31.jpg,Adhered,./merged_data/train/31.jpg,"(3, 72, 61)"
32.jpg,Concrete,./merged_data/train/32.jpg,"(3, 138, 128)"
33.jpg,Adhered,./merged_data/train/33.jpg,"(3, 69, 33)"
34.jpg,Adhered,./merged_data/train/34.jpg,"(3, 51, 42)"
35.jpg,Adhered,./merged_data/train/35.jpg,"(3, 61, 37)"
36.jpg,Adhered,./merged_data/train/36.jpg,"(3, 211, 176)"
37.jpg,Adhered,./merged_data/train/37.jpg,"(3, 75, 64)"
38.jpg,Concrete,./merged_data/train/38.jpg,"(3, 76, 71)"
39.jpg,Adhered,./merged_data/train/39.jpg,"(3, 193, 156)"
40.jpg,Adhered,./merged_data/train/40.jpg,"(3, 159, 123)"
41.jpg,Adhered,./merged_data/train/41.jpg,"(3, 173, 173)"
42.jpg,Adhered,./merged_data/train/42.jpg,"(3, 146, 119)"
43.jpg,Adhered,./merged_data/train/43.jpg,"(3, 206, 172)"
44.jpg,Concrete,./merged_data/train/44.jpg,"(3, 128, 109)"
45.jpg,Plastic & fabric,./merged_data/train/45.jpg,"(3, 71, 60)"
46.jpg,Plastic & fabric,./merged_data/train/46.jpg,"(3, 65, 57)"
47.jpg,Adhered,./merged_data/train/47.jpg,"(3, 524, 304)"
48.jpg,Adhered,./merged_data/train/48.jpg,"(3, 608, 526)"
49.jpg,Adhered,./merged_data/train/49.jpg,"(3, 1091, 818)"
50.jpg,Adhered,./merged_data/train/50.jpg,"(3, 131, 97)"
51.jpg,Adhered,./merged_data/train/51.jpg,"(3, 304, 108)"
52.jpg,Adhered,./merged_data/train/52.jpg,"(3, 238, 329)"
53.jpg,Adhered,./merged_data/train/53.jpg,"(3, 196, 59)"
54.jpg,Plastic & fabric,./merged_data/train/54.jpg,"(3, 59, 51)"
55.jpg,Plastic & fabric,./merged_data/train/55.jpg,"(3, 61, 48)"
56.jpg,Adhered,./merged_data/train/56.jpg,"(3, 114, 66)"
57.jpg,Concrete,./merged_data/train/57.jpg,"(3, 71, 56)"
58.jpg,Plastic & fabric,./merged_data/train/58.jpg,"(3, 68, 60)"
59.jpg,Adhered,./merged_data/train/59.jpg,"(3, 346, 314)"
60.jpg,Adhered,./merged_data/train/60.jpg,"(3, 213, 188)"
61.jpg,Ballasted,./merged_data/train/61.jpg,"(3, 845, 694)"
62.jpg,Adhered,./merged_data/train/62.jpg,"(3, 174, 238)"
63.jpg,Adhered,./merged_data/train/63.jpg,"(3, 805, 347)"
64.jpg,Adhered,./merged_data/train/64.jpg,"(3, 385, 381)"
65.jpg,Steel,./merged_data/train/65.jpg,"(3, 480, 397)"
66.jpg,Adhered,./merged_data/train/66.jpg,"(3, 219, 109)"
67.jpg,Plastic & fabric,./merged_data/train/67.jpg,"(3, 94, 60)"
68.jpg,Adhered,./merged_data/train/68.jpg,"(3, 48, 46)"
69.jpg,Adhered,./merged_data/train/69.jpg,"(3, 63, 33)"
70.jpg,Adhered,./merged_data/train/70.jpg,"(3, 748, 462)"
71.jpg,Shingle,./merged_data/train/71.jpg,"(3, 184, 447)"
72.jpg,Steel,./merged_data/train/72.jpg,"(3, 157, 219)"
73.jpg,Plastic & fabric,./merged_data/train/73.jpg,"(3, 142, 114)"
74.jpg,Plastic & fabric,./merged_data/train/74.jpg,"(3, 52, 162)"
75.jpg,Adhered,./merged_data/train/75.jpg,"(3, 84, 92)"
76.jpg,Adhered,./merged_data/train/76.jpg,"(3, 133, 174)"
77.jpg,Adhered,./merged_data/train/77.jpg,"(3, 192, 213)"
78.jpg,Concrete,./merged_data/train/78.jpg,"(3, 94, 77)"
79.jpg,Adhered,./merged_data/train/79.jpg,"(3, 674, 619)"
80.jpg,Concrete,./merged_data/train/80.jpg,"(3, 93, 70)"
81.jpg,Adhered,./merged_data/train/81.jpg,"(3, 1808, 1537)"
82.jpg,Adhered,./merged_data/train/82.jpg,"(3, 562, 614)"
83.jpg,Adhered,./merged_data/train/83.jpg,"(3, 749, 935)"
84.jpg,Adhered,./merged_data/train/84.jpg,"(3, 184, 213)"
85.jpg,Steel,./merged_data/train/85.jpg,"(3, 215, 402)"
86.jpg,Adhered,./merged_data/train/86.jpg,"(3, 1207, 616)"
87.jpg,Concrete,./merged_data/train/87.jpg,"(3, 1263, 913)"
